"round","race","circuit","year","driver","driverRef","constructor","number","position","q1","q2","q3"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,1,"1:26.572","1:25.187","1:26.714"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,2,"1:26.103","1:25.315","1:26.869"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,3,"1:25.664","1:25.452","1:27.079"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Felipe Massa","massa","Ferrari",2,4,"1:25.994","1:25.691","1:27.178"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,5,"1:25.960","1:25.518","1:27.236"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Jarno Trulli","trulli","Toyota",11,6,"1:26.427","1:26.101","1:28.527"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nico Rosberg","rosberg","Williams",7,7,"1:26.295","1:26.059","1:28.687"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"David Coulthard","coulthard","Red Bull",9,8,"1:26.381","1:26.063","1:29.041"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Timo Glock","glock","Toyota",12,9,"1:26.919","1:26.164","1:29.593"
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,10,"1:26.702","1:25.842",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,11,"1:26.369","1:26.173",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Fernando Alonso","alonso","Renault",5,12,"1:26.907","1:26.188",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Jenson Button","button","Honda",16,13,"1:26.712","1:26.259",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,14,"1:26.891","1:26.413",NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Mark Webber","webber","Red Bull",10,15,"1:26.914",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,16,"1:26.140",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,17,"1:27.207",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,18,"1:27.446",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Adrian Sutil","sutil","Force India",20,19,"1:27.859",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Takuma Sato","sato","Super Aguri",18,20,"1:28.208",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,21,"1:28.330",NULL,NULL
1,"Australian Grand Prix","Albert Park Grand Prix Circuit",2008,"Anthony Davidson","davidson","Super Aguri",19,22,"1:29.059",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Felipe Massa","massa","Ferrari",2,1,"1:35.347","1:34.412","1:35.748"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Kimi Räikkönen","raikkonen","Ferrari",1,2,"1:35.645","1:34.188","1:36.230"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Heikki Kovalainen","kovalainen","McLaren",23,3,"1:35.227","1:34.759","1:36.613"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Lewis Hamilton","hamilton","McLaren",22,4,"1:35.392","1:34.627","1:36.709"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Jarno Trulli","trulli","Toyota",11,5,"1:35.205","1:34.960","1:36.711"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Robert Kubica","kubica","BMW Sauber",4,6,"1:35.794","1:34.811","1:36.727"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nick Heidfeld","heidfeld","BMW Sauber",3,7,"1:35.729","1:34.648","1:36.753"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Mark Webber","webber","Red Bull",10,8,"1:35.440","1:34.967","1:37.009"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Fernando Alonso","alonso","Renault",5,9,"1:35.983","1:35.140","1:38.450"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Timo Glock","glock","Toyota",12,10,"1:35.891","1:35.000","1:39.656"
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Jenson Button","button","Honda",16,11,"1:35.847","1:35.208",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"David Coulthard","coulthard","Red Bull",9,12,"1:36.058","1:35.408",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nelson Piquet Jr.","piquet_jr","Renault",6,13,"1:36.074","1:35.562",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Rubens Barrichello","barrichello","Honda",17,14,"1:36.198","1:35.622",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Sebastian Vettel","vettel","Toro Rosso",15,15,"1:36.111","1:35.648",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Nico Rosberg","rosberg","Williams",7,16,"1:35.843","1:35.670",NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Giancarlo Fisichella","fisichella","Force India",21,17,"1:36.240",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Kazuki Nakajima","nakajima","Williams",8,18,"1:36.388",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Sébastien Bourdais","bourdais","Toro Rosso",14,19,"1:36.677",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Takuma Sato","sato","Super Aguri",18,20,"1:37.087",NULL,NULL
2,"Malaysian Grand Prix","Sepang International Circuit",2008,"Adrian Sutil","sutil","Force India",20,21,"1:37.101",NULL,NULL
